Feature,Random Forest,Gradient Boosting,XGBoost,Average
Suburb_Encoded,0.3761799593526124,0.376635669051665,0.21807057,0.3236287316861609
BuildingArea,0.2694490530120463,0.25374669339648664,0.09376174,0.2056524961745179
Type_u,0.07581855154587072,0.05384513712312155,0.3447635,0.15814239208214353
YearBuilt,0.08151001313362584,0.08392511662891292,0.04504835,0.07016115945605718
Rooms,0.02278650866645899,0.06433826292323318,0.03360229,0.040242353815057454
Distance,0.04004133940400115,0.0491949943679949,0.018071601,0.03576931164643909
Landsize,0.04667245678845465,0.03725160169482882,0.015553891,0.03315931640358128
CouncilArea_Encoded,0.02068674402926152,0.02310981233867449,0.034252737,0.026016431028466184
Regionname_Southern Metropolitan,0.004541902205753411,0.013640398027695214,0.049262658,0.022481652665007474
Bathroom,0.01364411374416666,0.019803732155712146,0.02903309,0.020826978939711673
Type_t,0.0022359350992486723,0.0028768234509191177,0.031996086,0.012369614929994182
Car,0.009138407506507728,0.0059704656436533375,0.01061325,0.008574040921665284
Propertycount,0.012124405025138138,0.0036316968280945827,0.008610117,0.008122073034141176
Month,0.0096064371243525,0.0032607338941336756,0.0068553183,0.006574163113754641
Year,0.004197600313579237,0.003312383062416811,0.008928996,0.005479659651825724
Method_S,0.0032102402623252605,0.0034428717987062046,0.009500166,0.005384426154099506
Method_SA,0.0009311502584896488,0.0004199895366304035,0.010180233,0.0038437909471775067
Regionname_Western Metropolitan,0.0008141120029715883,0.00029455112726759104,0.009783626,0.003630762910987116
Method_VB,0.001613491534788041,0.00031469285696346367,0.008122041,0.0033500750939695757
Method_SP,0.0010241042466635334,0.0003466553418065902,0.0049394537,0.0021034044216043627
Regionname_Northern Metropolitan,0.0006352829085066795,8.252057994973102e-05,0.0053702607,0.002029354723471139
Regionname_South-Eastern Metropolitan,0.00016463621809951662,0.0001421218992454836,0.0036801158,0.0013289579719444197
Quarter,0.002954159417833827,0.00040739638232196134,0.0,0.0011205186000519294
Regionname_Western Victoria,5.6491945679271855e-06,5.679889566101201e-06,0.0,3.7763613780094625e-06
Regionname_Eastern Victoria,7.639070324997313e-06,0.0,0.0,2.5463567749991046e-06
Regionname_Northern Victoria,6.10793435121951e-06,0.0,0.0,2.03597811707317e-06
